TEMPLATE_ASSET_NORMALIZATION_AUDIT_V1
generated_at=2026-08-12T03:39:06
canonical_viewport=1280x720
rule_3840x2087=crop(114,54,3725,2087)->resize(1280x720)
rule_3611x2033=full_viewport->resize(1280x720)
rule_1268x71x=full_viewport->resize(1280x720)
local_crops=logged_as_roi_seed_only_and_excluded_from_frame_scoring
normalized_frame_count=223

C:\Users\Administrator\Desktop\Resonance_Template\主页任务.png	original=771x321	local_roi_seed_only=771x321;not_a_full_viewport	sha256=28f9ffc27551c750d1b4cc5e93e1acb465909ab76942ce388595e64f2a35c085
C:\Users\Administrator\Desktop\Resonance_Template\主页作战终端.png	original=603x225	local_roi_seed_only=603x225;not_a_full_viewport	sha256=69f446400fbe811d0929383cc59996ca00dd46cedc0fcf30b56e1f0328ac4146
C:\Users\Administrator\Desktop\Resonance_Template\主页快速跳转跳转内容不定.png	original=747x315	local_roi_seed_only=747x315;not_a_full_viewport	sha256=3e22c29ac200af5fb3bc24d75a4b813be91df48f2a2634591cdac76b54c0417e
C:\Users\Administrator\Desktop\Resonance_Template\主页总部商店.png	original=162x141	local_roi_seed_only=162x141;not_a_full_viewport	sha256=1a047a2f7f995a863b8fe41d7d10130326a22c9e8919231fa3275169e0c45449
C:\Users\Administrator\Desktop\Resonance_Template\主页整备列车.png	original=1584x546	local_roi_seed_only=1584x546;not_a_full_viewport	sha256=77bb09221677bd45b88849f756e124a9371b047ce3ef4c686d9f3f21b5757bda
C:\Users\Administrator\Desktop\Resonance_Template\主页营收报告.png	original=711x201	local_roi_seed_only=711x201;not_a_full_viewport	sha256=f7bedc5efebf33db0c0cae3bf8554345f88501d6b34f177ac140ecdd2a53acac
C:\Users\Administrator\Desktop\Resonance_Template\主页限时活动.png	original=237x228	local_roi_seed_only=237x228;not_a_full_viewport	sha256=69b4b98a41b15f966e361e2373d6cda8e4efa11695bf9e0342beaa89e8b9664f
C:\Users\Administrator\Desktop\Resonance_Template\任务.png	original=3840x2087	crop=(114,54,3725,2087);resize=1280x720	sha256=e1ad535333e4f55dc3cb7b8c2eb7681d4595249ac44124bf09c622ab1f2e644e
C:\Users\Administrator\Desktop\Resonance_Template\列车所在站点.png	original=3840x2087	crop=(114,54,3725,2087);resize=1280x720	sha256=735fff725dd3e63b1bab175a40d0d41f1907c807dea15ec65ef06149371c8668
C:\Users\Administrator\Desktop\Resonance_Template\副官室.png	original=3840x2087	crop=(114,54,3725,2087);resize=1280x720	sha256=5978e27c930b7d0040cec2eca9671b93142acbb827e6c05c0ce65a70e6c57a35
C:\Users\Administrator\Desktop\Resonance_Template\加载画面1.png	original=1268x713	viewport=full_1268x713;resize=1280x720	sha256=d4f72372312a4f1b69f8f40538bd766f0799c789aac921f980174e346375aeab
C:\Users\Administrator\Desktop\Resonance_Template\客运管理.png	original=1268x713	viewport=full_1268x713;resize=1280x720	sha256=fe7232ef633a01ef2e08339f989f4a68736d134022cab0e165ea3de30afe2b2c
C:\Users\Administrator\Desktop\Resonance_Template\成就.png	original=1268x713	viewport=full_1268x713;resize=1280x720	sha256=c57d528a799522525d84db409c3da96f8460465db38e877393a0080386c7f2b7
C:\Users\Administrator\Desktop\Resonance_Template\整备列车.png	original=1268x713	viewport=full_1268x713;resize=1280x720	sha256=f7ffa1866efe5c3870dd6e29ede4fe06c3d337603e45f8e552885dfbefa9e182
C:\Users\Administrator\Desktop\Resonance_Template\整备列车外观.png	original=1268x713	viewport=full_1268x713;resize=1280x720	sha256=b712b52dc811fc6962af6e1f49a761dddd6a0b292b8ca999b9f379ed063b49ec
C:\Users\Administrator\Desktop\Resonance_Template\整备列车改装.png	original=1268x713	viewport=full_1268x713;resize=1280x720	sha256=bc9c8460d726a34faea7e563380818268c690624d0cf878de04f085a35277341
C:\Users\Administrator\Desktop\Resonance_Template\整备列车武装.png	original=1268x713	viewport=full_1268x713;resize=1280x720	sha256=19d14f3f9c98de75b18f755f9e041df9ccb0e2ef0c27c93a8f873c276f37e7d8
C:\Users\Administrator\Desktop\Resonance_Template\整备列车研发.png	original=1268x713	viewport=full_1268x713;resize=1280x720	sha256=f65f29c482c3f23cfe2c8199e5bab2714b2c2894bd5f1020cf3542ebb0e0186d
C:\Users\Administrator\Desktop\Resonance_Template\点击站点后画面.png	original=3840x2087	crop=(114,54,3725,2087);resize=1280x720	sha256=69070766a57c9541bbe0e6006808965eee57686247d23afee5eb377eb5dfae78
C:\Users\Administrator\Desktop\Resonance_Template\营收报告.png	original=3611x2033	viewport=full_3611x2033;resize=1280x720	sha256=aa6ca9a688a7e6e6c7dbc6be6ae3ad8871fd963951e6e62a2e4a3951c71c644a
C:\Users\Administrator\Desktop\Resonance_Template\车厢内.png	original=3840x2087	crop=(114,54,3725,2087);resize=1280x720	sha256=48830b6d0de6317761a160992994e3e32639a6dbbd38bd2e7036c3aeaf32eff0
C:\Users\Administrator\Desktop\Resonance_Template\车厢内管理.png	original=3611x2033	viewport=full_3611x2033;resize=1280x720	sha256=bbd3dc89ca95555bef7e8ee19ad65dc8d9cdd52b7a919a4e5e05c70e8999187b
C:\Users\Administrator\Desktop\Resonance_Template\车厢内装扮.png	original=3840x2087	crop=(114,54,3725,2087);resize=1280x720	sha256=97b9c33a4fa73854589585406a42a3196222da03e82918ecb762fdb314fef236
